year,month,year_month_dt,observations,total_commits,total_contributors,mean_days_since_last_commit,median_days_since_last_commit,avg_commits_per_observation,avg_contributors_per_observation
2020,1,2020-01-01,9,846,63,3.7777777777777777,0.0,94.0,7.0
2020,2,2020-02-01,16,2147,109,4.875,0.0,134.1875,6.8125
2020,3,2020-03-01,25,3532,130,6.291666666666667,0.0,141.28,5.2
2020,4,2020-04-01,33,3449,190,9.3125,0.0,104.51515151515152,5.757575757575758
2020,5,2020-05-01,45,5679,469,8.720930232558139,0.0,126.2,10.422222222222222
2020,6,2020-06-01,51,4623,371,9.918367346938776,0.0,90.6470588235294,7.2745098039215685
2020,7,2020-07-01,65,6199,650,10.655737704918034,0.0,95.36923076923077,10.0
2020,8,2020-08-01,72,5428,602,9.17910447761194,0.0,75.38888888888889,8.36111111111111
2020,9,2020-09-01,77,5591,528,14.680555555555555,1.5,72.6103896103896,6.857142857142857
2020,10,2020-10-01,87,7379,746,15.78048780487805,0.0,84.816091954023,8.574712643678161
2020,11,2020-11-01,92,5906,648,17.686046511627907,0.0,64.19565217391305,7.043478260869565
2020,12,2020-12-01,100,7237,694,17.593406593406595,0.0,72.37,6.94
2021,1,2021-01-01,114,8279,681,18.310679611650485,0.0,72.62280701754386,5.973684210526316
2021,2,2021-02-01,121,8696,654,20.38532110091743,1.0,71.86776859504133,5.404958677685951
2021,3,2021-03-01,132,11284,914,18.371900826446282,0.0,85.48484848484848,6.924242424242424
2021,4,2021-04-01,139,11109,833,17.22047244094488,0.0,79.92086330935251,5.9928057553956835
2021,5,2021-05-01,150,11407,882,16.970802919708028,0.0,76.04666666666667,5.88
2021,6,2021-06-01,156,11684,973,17.774647887323944,0.0,74.8974358974359,6.237179487179487
2021,7,2021-07-01,160,11299,1019,18.363013698630137,0.0,70.61875,6.36875
2021,8,2021-08-01,166,12605,1160,21.289473684210527,0.0,75.93373493975903,6.9879518072289155
2021,9,2021-09-01,172,13540,1250,27.246835443037973,0.0,78.72093023255815,7.267441860465116
2021,10,2021-10-01,180,14031,1509,19.059880239520957,0.0,77.95,8.383333333333333
2021,11,2021-11-01,184,14046,1362,22.801169590643276,1.0,76.33695652173913,7.4021739130434785
2021,12,2021-12-01,193,14327,1521,22.089887640449437,1.0,74.23316062176166,7.880829015544041
2022,1,2022-01-01,195,14981,1612,20.502762430939228,0.0,76.82564102564102,8.266666666666667
2022,2,2022-02-01,198,17019,1858,19.190217391304348,0.0,85.95454545454545,9.383838383838384
