repo,repo_age_months,stars,forks,days_since_last_commit,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,year,month
anthropics__claude-code,11,69236,5437,11,5,38,2,77,32,6,3086,1807,2025,12
anthropics__claude-code,7,69236,5437,1,11,77,5,43,38,27,1948,1699,2025,8
google-gemini__gemini-cli,9,95375,11528,0,76,274,34,541,461,304,864,1636,2025,12
zen-browser__desktop,13,40244,1342,0,18,392,13,71,73,58,893,1601,2025,3
langgenius__dify,24,129998,20242,0,116,333,65,448,445,338,1725,1536,2025,3
SimplifyJobs__Summer2026-Internships,65,43476,3165,0,5,3236,3,0,3,0,1429,1430,2025,9
anthropics__claude-code,10,69236,5437,3,12,56,7,70,59,14,1894,1419,2025,11
PaddlePaddle__PaddleOCR,39,70925,9839,0,8,11,4,38,42,31,197,1361,2023,7
SimplifyJobs__Summer2026-Internships,66,43476,3165,0,5,4343,2,3,2,0,1347,1347,2025,10
hyprwm__Hyprland,38,33974,1574,0,30,100,11,69,103,64,73,1338,2025,4
Flowseal__zapret-discord-youtube,10,22959,1894,1,5,20,2,6,7,5,409,1282,2025,7
langgenius__dify,25,129998,20242,0,122,377,67,436,458,406,1185,1206,2025,4
google-gemini__gemini-cli,5,95375,11528,0,128,547,78,886,886,554,1263,1121,2025,8
langchain-ai__langchain,12,127113,20906,0,191,643,127,646,629,512,411,1088,2023,9
anthropics__claude-code,9,69236,5437,0,10,58,4,35,22,17,2114,1080,2025,10
AUTOMATIC1111__stable-diffusion-webui,13,160723,29984,0,40,641,22,221,214,152,291,1069,2023,8
CherryHQ__cherry-studio,10,40044,3689,0,75,396,66,288,254,208,1189,1052,2025,2
ggml-org__llama.cpp,14,95602,15021,0,87,193,50,250,217,182,269,1042,2024,4
Significant-Gravitas__AutoGPT,2,181926,46222,0,191,1732,190,1378,1135,548,1369,1010,2023,4
CherryHQ__cherry-studio,11,40044,3689,0,70,512,46,377,354,284,1053,996,2025,3
google-gemini__gemini-cli,4,95375,11528,0,132,420,95,826,723,422,1578,992,2025,7
openai__codex,8,61508,8163,0,69,377,46,567,701,382,728,969,2025,11
oven-sh__bun,56,87520,4074,0,24,209,10,390,300,187,594,957,2025,11
langgenius__dify,30,129998,20242,0,102,415,42,628,603,535,833,941,2025,9
anomalyco__opencode,9,108877,10807,0,130,1873,98,795,580,392,823,888,2025,12
anomalyco__sst,51,25511,2023,0,37,256,28,29,123,14,187,872,2024,10
google-gemini__gemini-cli,7,95375,11528,0,86,546,37,859,893,578,1166,868,2025,10
SimplifyJobs__Summer2026-Internships,64,43476,3165,0,9,2178,5,3,0,0,857,856,2025,8
langchain-ai__langchain,17,127113,20906,0,202,550,135,761,701,552,348,854,2024,2
langgenius__dify,29,129998,20242,0,102,443,37,621,585,510,785,853,2025,8
langgenius__dify,28,129998,20242,0,109,398,50,478,498,417,793,814,2025,7
zed-industries__zed,50,75691,7024,0,95,936,40,1149,1154,1034,465,804,2025,3
vllm-project__vllm,22,70898,13607,0,132,430,56,518,574,430,353,802,2024,11
PaddlePaddle__PaddleOCR,49,70925,9839,0,15,36,10,34,39,32,127,790,2024,5
MHSanaei__3x-ui,17,30696,5968,2,3,30,1,11,11,7,78,790,2024,6
appsmithorg__appsmith,46,39114,4460,0,43,401,3,317,327,267,555,788,2024,3
