repo,year,month,number_of_commits,number_of_contributors,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,days_since_last_commit,total_issues,total_prs,issue_closure_rate,pr_close_rate,commit_score,closure_score,pr_close_score,contributor_score,date,total_activity,activity_status_current_raw,activity_m1,activity_m2,activity_m3,future_activity_3m,active_months_next3,future_activity_status_rq2
0x192__universal-android-debloater,2021,10,37,2,1,1,1,55,38,7.0,93,2,0.40860215053763443,0.5,54.25292212364455,40.86021505376344,50.0,36.21086231986105,2021-10-01,76,1,13.0,18.0,48.0,79.0,3,1
0x192__universal-android-debloater,2021,11,6,2,2,1,1,17,6,16.0,23,3,0.2608695652173913,0.3333333333333333,31.840585832981272,26.08695652173913,33.33333333333333,36.21086231986105,2021-11-01,13,1,18.0,48.0,32.0,98.0,3,1
0x192__universal-android-debloater,2021,12,11,2,3,1,1,15,6,10.0,21,4,0.2857142857142857,0.25,37.31634042153688,28.57142857142857,25.0,36.21086231986105,2021-12-01,18,1,48.0,32.0,20.0,100.0,3,1
0x192__universal-android-debloater,2022,1,28,5,3,5,4,12,15,0.0,27,8,0.5555555555555556,0.625,49.77937379711778,55.55555555555556,62.5,52.47852415152795,2022-01-01,48,1,32.0,20.0,29.0,81.0,3,1
0x192__universal-android-debloater,2022,2,10,2,7,6,4,30,16,8.0,46,13,0.34782608695652173,0.46153846153846156,36.35872881753743,34.78260869565217,46.15384615384615,36.21086231986105,2022-02-01,32,1,20.0,29.0,12.0,61.0,3,0
0x192__universal-android-debloater,2022,3,6,2,3,2,1,17,12,1.0,29,5,0.41379310344827586,0.4,31.840585832981272,41.37931034482759,40.0,36.21086231986105,2022-03-01,20,1,29.0,12.0,2.0,43.0,3,0
0x192__universal-android-debloater,2022,4,11,1,2,1,0,43,17,7.0,60,3,0.2833333333333333,0.3333333333333333,37.31634042153688,28.333333333333332,33.33333333333333,26.155940477866967,2022-04-01,29,1,12.0,2.0,65.0,79.0,3,1
0x192__universal-android-debloater,2022,5,2,2,5,2,2,26,8,23.0,34,7,0.23529411764705882,0.2857142857142857,24.757076468103083,23.52941176470588,28.57142857142857,36.21086231986105,2022-05-01,12,1,2.0,65.0,52.0,119.0,3,1
0x192__universal-android-debloater,2022,6,0,0,8,0,0,28,2,53.0,30,8,0.06666666666666667,0.0,10.162887856170492,6.666666666666667,0.0,9.953997089611793,2022-06-01,2,1,65.0,52.0,54.0,171.0,3,1
0x192__universal-android-debloater,2022,7,26,11,14,13,11,28,26,21.0,54,27,0.48148148148148145,0.48148148148148145,48.62460686288316,48.148148148148145,48.148148148148145,71.12613246960522,2022-07-01,65,1,52.0,54.0,14.0,120.0,3,1
0x192__universal-android-debloater,2022,8,13,3,13,12,12,28,27,2.0,55,25,0.4909090909090909,0.48,39.4169835234474,49.09090909090909,48.0,42.881284326151246,2022-08-01,52,1,54.0,14.0,107.0,175.0,3,1
0x192__universal-android-debloater,2022,9,20,4,8,6,6,23,28,0.0,51,14,0.5490196078431373,0.42857142857142855,44.90916772285593,54.90196078431373,42.857142857142854,48.089470966530534,2022-09-01,54,1,14.0,107.0,26.0,147.0,3,1
0x192__universal-android-debloater,2022,10,5,3,15,6,3,20,3,8.0,23,21,0.13043478260869565,0.2857142857142857,30.43702764868798,13.043478260869565,28.57142857142857,42.881284326151246,2022-10-01,14,1,107.0,26.0,12.0,145.0,3,1
0x192__universal-android-debloater,2022,11,36,14,11,33,29,14,38,9.0,52,44,0.7307692307692307,0.75,53.83044641599775,73.07692307692307,75.0,77.28723653945454,2022-11-01,107,1,26.0,12.0,14.0,52.0,3,0
0x192__universal-android-debloater,2022,12,9,5,6,8,7,22,9,12.0,31,14,0.2903225806451613,0.5714285714285714,35.419893911655635,29.03225806451613,57.14285714285714,52.47852415152795,2022-12-01,26,1,12.0,14.0,15.0,41.0,3,0
0x192__universal-android-debloater,2023,1,8,1,13,0,0,36,4,0.0,40,13,0.1,0.0,34.37544007886213,10.0,0.0,26.155940477866967,2023-01-01,12,1,14.0,15.0,29.0,58.0,3,0
0x192__universal-android-debloater,2023,2,4,3,36,2,2,60,8,5.0,68,38,0.11764705882352941,0.05263157894736842,28.83866122142421,11.76470588235294,5.263157894736842,42.881284326151246,2023-02-01,14,1,15.0,29.0,16.0,60.0,3,0
0x192__universal-android-debloater,2023,3,6,3,18,5,4,28,4,12.0,32,23,0.125,0.21739130434782608,31.840585832981272,12.5,21.73913043478261,42.881284326151246,2023-03-01,15,1,29.0,16.0,4.0,49.0,3,0
0x192__universal-android-debloater,2023,4,16,9,13,7,6,19,6,19.0,25,20,0.24,0.35,41.96122611838708,24.0,35.0,65.93672252734358,2023-04-01,29,1,16.0,4.0,3.0,23.0,3,0
0x192__universal-android-debloater,2023,5,0,0,16,1,0,31,15,50.0,46,17,0.32608695652173914,0.058823529411764705,10.162887856170492,32.608695652173914,5.88235294117647,9.953997089611793,2023-05-01,16,1,4.0,3.0,2.0,9.0,3,0
0x192__universal-android-debloater,2023,6,0,0,6,1,0,22,3,80.0,25,7,0.12,0.14285714285714285,10.162887856170492,12.0,14.285714285714285,9.953997089611793,2023-06-01,4,1,3.0,2.0,2.0,7.0,3,0
0x192__universal-android-debloater,2023,7,0,0,19,2,0,23,1,111.0,24,21,0.041666666666666664,0.09523809523809523,10.162887856170492,4.166666666666666,9.523809523809524,9.953997089611793,2023-07-01,3,1,2.0,2.0,14.0,18.0,3,0
0x192__universal-android-debloater,2023,8,0,0,11,1,0,25,1,142.0,26,12,0.038461538461538464,0.08333333333333333,10.162887856170492,3.8461538461538463,8.333333333333332,9.953997089611793,2023-08-01,2,1,2.0,14.0,5.0,21.0,3,0
0x192__universal-android-debloater,2023,9,0,0,9,0,0,18,2,172.0,20,9,0.1,0.0,10.162887856170492,10.0,0.0,9.953997089611793,2023-09-01,2,1,14.0,5.0,6.0,25.0,3,0
0x192__universal-android-debloater,2023,10,0,0,7,11,0,19,3,203.0,22,18,0.13636363636363635,0.6111111111111112,10.162887856170492,13.636363636363635,61.111111111111114,9.953997089611793,2023-10-01,14,1,5.0,6.0,4.0,15.0,3,0
0x192__universal-android-debloater,2023,11,0,0,3,3,0,8,2,233.0,10,6,0.2,0.5,10.162887856170492,20.0,50.0,9.953997089611793,2023-11-01,5,1,6.0,4.0,5.0,15.0,3,0
0x192__universal-android-debloater,2023,12,0,0,3,3,0,14,3,264.0,17,6,0.17647058823529413,0.5,10.162887856170492,17.647058823529413,50.0,9.953997089611793,2023-12-01,6,1,4.0,5.0,5.0,14.0,3,0
0x192__universal-android-debloater,2024,1,0,0,2,2,0,13,2,295.0,15,4,0.13333333333333333,0.5,10.162887856170492,13.333333333333334,50.0,9.953997089611793,2024-01-01,4,1,5.0,5.0,2.0,12.0,3,0
0x192__universal-android-debloater,2024,2,0,0,0,1,0,10,4,324.0,14,1,0.2857142857142857,1.0,10.162887856170492,28.57142857142857,100.0,9.953997089611793,2024-02-01,5,1,5.0,2.0,3.0,10.0,3,0
0x192__universal-android-debloater,2024,3,0,0,2,1,0,8,4,355.0,12,3,0.3333333333333333,0.3333333333333333,10.162887856170492,33.33333333333333,33.33333333333333,9.953997089611793,2024-03-01,5,1,2.0,3.0,3.0,8.0,3,0
0x192__universal-android-debloater,2024,4,0,0,0,0,0,5,2,385.0,7,0,0.2857142857142857,0.0,10.162887856170492,28.57142857142857,0.0,9.953997089611793,2024-04-01,2,1,3.0,3.0,2.0,8.0,3,0
0x192__universal-android-debloater,2024,5,0,0,0,2,0,3,1,416.0,4,2,0.25,1.0,10.162887856170492,25.0,100.0,9.953997089611793,2024-05-01,3,1,3.0,2.0,2.0,7.0,3,0
0x192__universal-android-debloater,2024,6,0,0,0,0,0,4,3,446.0,7,0,0.42857142857142855,0.0,10.162887856170492,42.857142857142854,0.0,9.953997089611793,2024-06-01,3,1,2.0,2.0,4.0,8.0,3,0
0x192__universal-android-debloater,2024,7,0,0,2,1,0,14,1,477.0,15,3,0.06666666666666667,0.3333333333333333,10.162887856170492,6.666666666666667,33.33333333333333,9.953997089611793,2024-07-01,2,1,2.0,4.0,2.0,8.0,3,0
0x192__universal-android-debloater,2024,8,0,0,1,1,0,7,1,508.0,8,2,0.125,0.5,10.162887856170492,12.5,50.0,9.953997089611793,2024-08-01,2,1,4.0,2.0,1.0,7.0,3,0
0x192__universal-android-debloater,2024,9,0,0,2,2,0,7,2,538.0,9,4,0.2222222222222222,0.5,10.162887856170492,22.22222222222222,50.0,9.953997089611793,2024-09-01,4,1,2.0,1.0,4.0,7.0,3,0
0x192__universal-android-debloater,2024,10,0,0,0,0,0,5,2,569.0,7,0,0.2857142857142857,0.0,10.162887856170492,28.57142857142857,0.0,9.953997089611793,2024-10-01,2,1,1.0,4.0,2.0,7.0,3,0
0x192__universal-android-debloater,2024,11,0,0,2,0,0,6,1,599.0,7,2,0.14285714285714285,0.0,10.162887856170492,14.285714285714285,0.0,9.953997089611793,2024-11-01,1,1,4.0,2.0,3.0,9.0,3,0
0x192__universal-android-debloater,2024,12,0,0,0,1,0,9,3,630.0,12,1,0.25,1.0,10.162887856170492,25.0,100.0,9.953997089611793,2024-12-01,4,1,2.0,3.0,0.0,5.0,2,0
0x192__universal-android-debloater,2025,1,0,0,0,0,0,4,2,661.0,6,0,0.3333333333333333,0.0,10.162887856170492,33.33333333333333,0.0,9.953997089611793,2025-01-01,2,1,3.0,0.0,0.0,3.0,1,0
0x192__universal-android-debloater,2025,2,0,0,0,1,0,6,2,689.0,8,1,0.25,1.0,10.162887856170492,25.0,100.0,9.953997089611793,2025-02-01,3,1,0.0,0.0,5.0,5.0,1,0
0x192__universal-android-debloater,2025,3,0,0,1,0,0,3,0,720.0,3,1,0.0,0.0,10.162887856170492,0.0,0.0,9.953997089611793,2025-03-01,0,0,0.0,5.0,3.0,8.0,2,0
0x192__universal-android-debloater,2025,4,0,0,0,0,0,4,0,750.0,4,0,0.0,0.0,10.162887856170492,0.0,0.0,9.953997089611793,2025-04-01,0,0,5.0,3.0,2.0,10.0,3,0
0x192__universal-android-debloater,2025,5,0,0,0,1,0,6,4,781.0,10,1,0.4,1.0,10.162887856170492,40.0,100.0,9.953997089611793,2025-05-01,5,1,3.0,2.0,3.0,8.0,3,0
0x192__universal-android-debloater,2025,6,0,0,23,3,0,3,0,811.0,3,26,0.0,0.11538461538461539,10.162887856170492,0.0,11.538461538461538,9.953997089611793,2025-06-01,3,1,2.0,3.0,9.0,14.0,3,0
0x192__universal-android-debloater,2025,7,0,0,3,2,0,3,0,842.0,3,5,0.0,0.4,10.162887856170492,0.0,40.0,9.953997089611793,2025-07-01,2,1,3.0,9.0,25.0,37.0,3,0
0x192__universal-android-debloater,2025,8,0,0,1,2,0,2,1,873.0,3,3,0.3333333333333333,0.6666666666666666,10.162887856170492,33.33333333333333,66.66666666666666,9.953997089611793,2025-08-01,3,1,9.0,25.0,4.0,38.0,3,0
0x192__universal-android-debloater,2025,9,0,0,1,7,0,5,2,903.0,7,8,0.2857142857142857,0.875,10.162887856170492,28.57142857142857,87.5,9.953997089611793,2025-09-01,9,1,25.0,4.0,6.0,35.0,3,0
1Panel-dev__1Panel,2022,7,1,1,0,0,0,0,0,11.0,0,0,0.0,0.0,21.867812045251842,0.0,0.0,26.155940477866967,2022-07-01,1,1,17.0,72.0,55.0,144.0,3,1
1Panel-dev__1Panel,2022,8,6,3,11,11,7,0,0,13.0,0,22,0.0,0.5,31.840585832981272,0.0,50.0,42.881284326151246,2022-08-01,17,1,72.0,55.0,102.0,229.0,3,1
1Panel-dev__1Panel,2022,9,57,2,15,15,8,0,0,9.0,0,30,0.0,0.5,62.5123222081397,0.0,50.0,36.21086231986105,2022-09-01,72,1,55.0,102.0,251.0,408.0,3,1
