model,RMSE,MAE,R2
gradient_boosting,12.05163497,8.845861517,0.724659521
random_forest,12.14571253,8.931603275,0.721409169
linear_regression,13.08605931,9.627323005,0.677954474
elastic_net,13.14892498,9.708010566,0.675066698
optimized_weights,17.01095603,12.42988712,0.445494318
commit_heavy,18.22991319,14.66803283,0.364003649
contributor_heavy,19.21655581,15.60953153,0.289351031
current_manual,20.15996737,16.86770755,0.223442619
equal,20.1849783,16.79130945,0.219280878
closure_heavy,22.01149855,18.62812224,0.075622934
